Entry: 2025-07-07 09:25:00, Exit: 2025-07-07 09:35:00, Entry Level: 57205.00, Exit Level: 57269.60, Result: WIN, P/L: 64.60
Entry: 2025-07-07 10:48:00, Exit: 2025-07-07 10:57:00, Entry Level: 57220.00, Exit Level: 57283.40, Result: WIN, P/L: 63.40
Entry: 2025-07-07 10:49:00, Exit: 2025-07-07 10:57:00, Entry Level: 57215.20, Exit Level: 57283.40, Result: WIN, P/L: 68.20
Entry: 2025-07-07 10:51:00, Exit: 2025-07-07 10:57:00, Entry Level: 57230.00, Exit Level: 57283.40, Result: WIN, P/L: 53.40
Entry: 2025-07-07 10:53:00, Exit: 2025-07-07 10:57:00, Entry Level: 57230.00, Exit Level: 57283.40, Result: WIN, P/L: 53.40
Entry: 2025-07-07 09:23:00, Exit: 2025-07-07 10:58:00, Entry Level: 57240.00, Exit Level: 57321.00, Result: WIN, P/L: 81.00
Entry: 2025-07-07 10:54:00, Exit: 2025-07-07 10:58:00, Entry Level: 57240.00, Exit Level: 57321.00, Result: WIN, P/L: 81.00
Entry: 2025-07-07 10:55:00, Exit: 2025-07-07 10:58:00, Entry Level: 57235.00, Exit Level: 57321.00, Result: WIN, P/L: 86.00
Entry: 2025-07-07 13:23:00, Exit: 2025-07-07 14:02:00, Entry Level: 57174.80, Exit Level: 57227.20, Result: WIN, P/L: 52.40
Entry: 2025-07-07 13:24:00, Exit: 2025-07-07 14:02:00, Entry Level: 57174.40, Exit Level: 57227.20, Result: WIN, P/L: 52.80
Entry: 2025-07-07 13:25:00, Exit: 2025-07-07 14:02:00, Entry Level: 57176.40, Exit Level: 57227.20, Result: WIN, P/L: 50.80
Entry: 2025-07-07 13:29:00, Exit: 2025-07-07 14:02:00, Entry Level: 57169.80, Exit Level: 57227.20, Result: WIN, P/L: 57.40
Entry: 2025-07-07 13:30:00, Exit: 2025-07-07 14:02:00, Entry Level: 57165.00, Exit Level: 57227.20, Result: WIN, P/L: 62.20
Entry: 2025-07-07 13:57:00, Exit: 2025-07-07 14:02:00, Entry Level: 57175.20, Exit Level: 57227.20, Result: WIN, P/L: 52.00
Entry: 2025-07-07 12:34:00, Exit: 2025-07-07 14:03:00, Entry Level: 57200.00, Exit Level: 57258.80, Result: WIN, P/L: 58.80
Entry: 2025-07-07 12:35:00, Exit: 2025-07-07 14:03:00, Entry Level: 57190.00, Exit Level: 57258.80, Result: WIN, P/L: 68.80
Entry: 2025-07-07 12:36:00, Exit: 2025-07-07 14:03:00, Entry Level: 57185.00, Exit Level: 57258.80, Result: WIN, P/L: 73.80
Entry: 2025-07-07 12:37:00, Exit: 2025-07-07 14:03:00, Entry Level: 57198.60, Exit Level: 57258.80, Result: WIN, P/L: 60.20
Entry: 2025-07-07 12:38:00, Exit: 2025-07-07 14:03:00, Entry Level: 57190.00, Exit Level: 57258.80, Result: WIN, P/L: 68.80
Entry: 2025-07-07 12:39:00, Exit: 2025-07-07 14:03:00, Entry Level: 57199.00, Exit Level: 57258.80, Result: WIN, P/L: 59.80
Entry: 2025-07-07 12:40:00, Exit: 2025-07-07 14:03:00, Entry Level: 57199.00, Exit Level: 57258.80, Result: WIN, P/L: 59.80
Entry: 2025-07-07 12:41:00, Exit: 2025-07-07 14:03:00, Entry Level: 57197.00, Exit Level: 57258.80, Result: WIN, P/L: 61.80
Entry: 2025-07-07 12:42:00, Exit: 2025-07-07 14:03:00, Entry Level: 57189.20, Exit Level: 57258.80, Result: WIN, P/L: 69.60
Entry: 2025-07-07 13:22:00, Exit: 2025-07-07 14:03:00, Entry Level: 57180.00, Exit Level: 57258.80, Result: WIN, P/L: 78.80
Entry: 2025-07-07 13:26:00, Exit: 2025-07-07 14:03:00, Entry Level: 57179.60, Exit Level: 57258.80, Result: WIN, P/L: 79.20
Entry: 2025-07-07 13:58:00, Exit: 2025-07-07 14:03:00, Entry Level: 57195.00, Exit Level: 57258.80, Result: WIN, P/L: 63.80
Entry: 2025-07-07 13:59:00, Exit: 2025-07-07 14:03:00, Entry Level: 57185.00, Exit Level: 57258.80, Result: WIN, P/L: 73.80
Entry: 2025-07-07 14:09:00, Exit: 2025-07-07 15:13:00, Entry Level: 57234.40, Exit Level: 57191.60, Result: LOSS, P/L: -42.80
Entry: 2025-07-07 14:10:00, Exit: 2025-07-07 15:13:00, Entry Level: 57221.00, Exit Level: 57191.60, Result: LOSS, P/L: -29.40
Entry: 2025-07-07 14:12:00, Exit: 2025-07-07 15:13:00, Entry Level: 57223.60, Exit Level: 57191.60, Result: LOSS, P/L: -32.00
Entry: 2025-07-07 14:13:00, Exit: 2025-07-07 15:13:00, Entry Level: 57215.00, Exit Level: 57191.60, Result: LOSS, P/L: -23.40
